1.771610094928242729e+00,1.395093172309477048e+00,3.699664055114549321e-01,1.245498101339767016e+00,2.397570035625896434e+00,3.465201058580204383e-05,1.143737482156113039e+00,1.041303947080981285e+00,9.198347959479855702e-06,3.711579717520151200e-02,2.412579286498087949e+00,1.353326871970691014e+00
7.640454671908071260e-01,9.147336724666440544e-01,4.702147330949573193e-05,1.055466870617125075e+00,2.568473011580712075e-05,2.299587099905528120e+00,4.020635163047978680e-05,1.188961602404468465e+00,1.316233996327981881e+00,2.907448069743193402e-03,2.925034491020221949e+00,2.191165494465689090e+00
2.384038814833540632e-01,1.150579522335422045e+00,1.613561528973534553e+00,1.301937200989118582e+00,9.971777054106548688e-01,3.031587309481190040e+00,2.561684769243516957e+00,2.668420997081548673e+00,5.697947097247270387e-02,1.024709281458544341e+00,1.988082501300222127e+00,9.964273370779156347e-05
8.776867245558060693e-02,1.364011506807765557e-04,1.947357541730830199e+00,6.976586681573768711e-01,2.200840676732090273e+00,2.133591774832254151e-01,1.179429795357731098e-01,8.805500191825107459e-01,2.492841903933452549e-02,5.550605105702061115e-01,9.013810072156539510e-01,2.976768610119110647e+00
2.753470309511932612e+00,4.727681207292673826e-01,2.019737390074284100e+00,2.933368326869829623e+00,1.888289926820056586e+00,2.016609624866317230e+00,1.213369884605846272e+00,2.191769326669354090e+00,1.997362980488959661e+00,1.183947952626743350e+00,1.964426609419546096e-02,8.021986376461523840e-05
3.641340266279908366e+00,1.194787092822992419e-01,2.556153479835660870e-05,1.292914813471407919e-05,1.322267131482150360e+00,1.737041407140264893e+00,1.063359353598767543e+00,9.558307206812766132e-01,8.398925542682628143e-01,2.467982475443893264e+00,6.148741995858910681e-01,4.451462533775732422e-01
1.064757955564091363e+00,1.819346166662218822e+00,1.159102510342197467e+00,8.278957180955490158e-02,6.889088325974577869e-05,9.822630172838574536e-01,3.717522279988610707e-06,2.191707892448795381e+00,3.117485500068728488e+00,1.807899819072217307e+00,6.268896384937984630e-06,1.479485144792210605e+00
2.856673121424692353e-04,2.328003090140201792e+00,1.177241673647929905e-04,1.035478593762352517e+00,2.669456807791850128e+00,1.183066178179192907e+00,1.343334424924872920e-05,4.523845089649177198e-01,2.197696419025044978e+00,1.564398462138453461e+00,1.227475151273660803e+00,5.945034407649336661e-01
1.454559816782716064e+00,9.141194207457695731e-01,2.316140021200505217e+00,4.998081694425067223e-01,6.405973257766970068e-05,4.868497679874855908e-05,2.048423533808648944e+00,6.518387624149827309e-01,2.107686310023579424e+00,1.457574809470656430e+00,2.208930335281105606e+00,6.564912432849650766e-05
2.632413387744433355e-04,1.252648548605538579e-04,5.485656287945931526e-05,2.467237376190434706e+00,5.553456749793319602e-01,4.646085377640891804e-05,1.967258377873834396e+00,1.956527844747231848e+00,1.745304583178465707e+00,3.211020885453818696e+00,6.107924095587258240e-01,8.109144679852575699e-01
2.391919174280222382e+00,2.381469418158026485e+00,2.364841737679256539e+00,2.953966938523980179e+00,8.671780479228388336e-03,6.718796631800117991e-01,1.509504694557923798e+00,6.614958927081482159e-05,4.160407670561751497e-06,1.632503972814919102e+00,3.456393269480209640e-02,1.464616963586097276e+00
2.919725163908752363e-01,2.329003674322528639e+00,1.045591081811344081e+00,4.780594186553560403e-05,1.590813523796978490e+00,9.246690960855097341e-01,2.028952340626853701e+00,7.438359635695688166e-05,1.985013080177929767e+00,5.958137394349833672e-03,8.776653524593822087e-02,2.498554992877367820e+00
