Timestamp,Cálculo 1,Cálculo 2,Cálculo 3,Cálculo 4,Física 1,Física 2,Física 3,Física 4,Progamação 1,Programação 2,Geometria analítica,Álgebra linear,Matéria adicional 1,Nota 1,Matéria adicional 2,Nota 2,Matéria adicional 3,Nota 3,Matéria adicional 4,Nota 4,Matéria adicional 5,Nota 5
11/17/2016 6:10:47,8,6,Não Fiz,Não Fiz,9,6,Não Fiz,Não Fiz,8,Não Fiz,9,5,Circuitos Lógicos - EA772,7,Química Geral - QG100,5,Desenho Técnico - EM312,6,Oficina em Instalações Elétricas - EM230,7,Física Experimental I - F 129,9
11/17/2016 6:11:32,8,8,7,Não Fiz,6,8,Não Fiz,Não Fiz,7,8,5,5,Probabilidade e teoria da informacao,9,Sistemas de telecomunicacoes,6,Comunicacoes moveis,6,Circuitos eletricos 1,6,Circuitos digitais 1,8
11/17/2016 6:18:38,7,7,,,7,7,,,3,,8,,,,,,,,,,,
11/17/2016 6:51:46,5,7,5,Não Fiz,7,5,7,Não Fiz,7,6,5,5,,,,,,,,,,
11/17/2016 6:57:24,5,5,5,8,5,5,7,7,5,,9,6,,,,,,,,,,
11/17/2016 7:00:14,7,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,8,9,8,8,,,,,,,,,,
11/17/2016 7:06:47,5,,,,,,,,,,,,,,,,,,,,,
11/17/2016 7:07:43,7,8,6,Não Fiz,7,8,9,8,8,9,6,8,,,,,,,,,,
11/17/2016 7:08:12,8,,,,,,,,,,,,Macroeconomia I,8,Geografia Urbana,8,Microeconomia I,7,Introdução a Economia,9,Economia Política I,8
11/17/2016 7:24:05,4,,,,2,,,,4,,7,7,,,,,,,,,,
11/17/2016 7:25:10,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Calculo para Biologia - MS380,6,Quimica - QG107,5,,,,,,
11/17/2016 7:34:29,5,6,5,Não Fiz,7,7,Não Fiz,Não Fiz,Não Fiz,Não Fiz,8,8,Biologia,7,Química Geral,7,,,,,,
11/17/2016 7:35:09,6,6,5,,7,6,,,9,10,5,7,Probabilidade,9,,,,,,,,
11/17/2016 7:46:27,5,,,,5,,,,,,,7,,,,,,,,,,
11/17/2016 7:49:56,6,Não Fiz,Não Fiz,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,Não Fiz,5,,,,,,,,,,
11/17/2016 8:13:56,4,4,5,5,5,4,5,5,5,5,5,4,,,,,,,,,,
11/17/2016 8:16:24,8,8,7,,9,7,8,8,9,10,7,7,,,,,,,,,,
11/17/2016 8:22:35,9,8,6,7,7,7,Não Fiz,Não Fiz,10,Não Fiz,8,6,,,,,,,,,,
11/17/2016 8:41:11,7,8,5,Não Fiz,7,5,Não Fiz,Não Fiz,7,Não Fiz,6,6,,,,,,,,,,
11/17/2016 9:04:09,6,5,4,,7,7,8,,6,,,5,,,,,,,,,,
11/17/2016 9:04:28,6,6,7,Não Fiz,8,8,Não Fiz,Não Fiz,9,Não Fiz,8,8,Química geral,7,Química orgânica ,7,Química ambiental ,7,Mecânica dos fluidos ,7,Mecânica dos sólidos ,6
11/17/2016 9:40:34,9,10,10,Não Fiz,9,8,Não Fiz,Não Fiz,10,Não Fiz,10,8,,,,,,,,,,
11/17/2016 9:47:34,8,6,7,5,5,6,Não Fiz,Não Fiz,8,7,5,9,,,,,,,,,,
11/17/2016 10:03:19,7,8,10,10,8,7,9,9,9,Não Fiz,Não Fiz,7,,,,,,,,,,
11/17/2016 10:16:47,8,8,9,,7,8,7,8,7,8,6,,,,,,,,,,,
11/17/2016 10:40:45,7,8,5,6,6,6,7,6,8,,,8,PME3100,7,PME3200,7,PEA3288,9,PRO3200,6,MAP3121,6
11/17/2016 11:18:03,6,6,8,Não Fiz,6,Não Fiz,7,0,5,6,6,7,Inferência Estatística,10,Processos Estocásticos,8,,,,,,
11/17/2016 11:23:25,8,Não Fiz,,,Não Fiz,,,,6,,9,7,laboratorio de quimica ,8,,,,,,,,
